col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
7,3,5,7,7,6,4,5,4,0,13.6
7,3,5,9,9,6,4,5,4,0,2.58
7,7,5,9,9,6,4,5,4,0,0.18
7,7,5,9,9,6,4,5,7,7,-15.59
7,7,9,9,9,6,4,5,7,7,-1.84
7,7,9,9,9,10,4,5,7,7,-2.13
7,7,9,9,9,10,6,7,7,7,0.78
8,10,9,9,9,10,6,7,7,7,0.33
12,10,9,9,9,10,6,7,7,7,15.6
12,12,11,9,9,10,6,7,7,7,10.03
11,11,10,8,8,9,7,7,7,0,37.59
7,7,6,4,4,5,3,3,3,0,28.09
7,7,6,6,6,5,3,3,3,0,29.03
7,7,6,6,6,5,4,5,4,0,31.16
7,7,7,7,8,5,4,5,4,0,26.33
7,7,7,7,8,7,6,5,4,0,30.8
9,9,7,7,8,7,6,5,4,0,29.99
9,9,7,7,8,7,6,7,6,0,31.75
5,5,3,3,4,3,2,3,2,0,23.14
5,5,3,3,4,5,4,3,2,0,25.75
5,5,3,5,6,5,4,3,2,0,17.1
5,5,7,5,6,5,4,3,2,0,19.64
7,7,7,5,6,5,4,3,2,0,20.42
7,7,7,5,6,5,4,3,6,0,20.38
7,7,7,5,6,5,6,5,6,0,29.97
9,9,7,5,6,5,6,5,6,0,24.88
10,10,9,9,8,5,6,5,6,0,27.34
10,10,9,11,10,5,6,5,6,0,18.37
6,6,5,7,6,1,2,1,2,0,12.33
6,6,5,7,6,1,3,3,3,0,7.99
6,6,5,7,6,5,3,3,3,0,22.26
9,8,8,7,6,5,5,6,6,0,42.17
9,8,8,7,6,5,5,7,9,0,28.92
9,8,8,7,6,8,6,7,9,0,27.47
9,8,8,8,9,8,6,7,9,0,32.1
9,8,8,8,9,8,8,9,9,0,40.08
9,9,9,10,9,8,8,9,9,0,39.55
10,11,10,10,9,8,8,9,9,0,37.9
10,11,10,10,9,10,10,9,9,0,32.98
10,11,10,11,11,11,10,9,9,0,24.77
10,11,10,11,11,11,12,11,9,0,5.45
13,12,10,11,11,11,12,11,9,0,14.93
13,12,12,12,12,11,12,11,9,0,9.23
13,14,14,12,12,11,12,11,9,0,-2.96
13,14,14,12,12,11,12,12,12,0,-27.7
13,14,14,12,12,13,14,12,12,0,-41.53
9,10,10,8,8,9,10,8,8,0,36.69
9,10,10,8,8,9,10,9,11,0,12.71
11,11,11,8,8,9,10,9,11,0,12.78
11,11,11,8,8,9,10,12,12,0,-21.19
11,11,11,9,10,10,10,12,12,0,-19.71
13,13,11,9,10,10,10,12,12,0,-23.5
13,13,11,11,12,10,10,12,12,0,-29.49
13,13,11,11,12,12,12,12,12,0,-20.47
13,13,12,14,12,12,12,12,12,0,-39.95
9,9,8,10,8,8,8,8,8,0,29.06
9,11,10,10,8,8,8,8,8,0,25.79
9,11,10,10,9,10,9,8,8,0,28.91
5,7,6,6,5,6,5,4,4,0,30.07
5,7,6,6,5,6,5,7,5,0,14.8
5,7,6,6,5,8,7,7,5,0,14.43
5,7,6,6,5,9,9,8,5,0,1.91
5,7,6,7,8,9,9,8,5,0,8.93
5,7,6,7,8,9,11,10,5,0,-10.98
8,8,6,7,8,9,11,10,5,0,11.05
8,8,6,7,8,12,12,10,5,0,-0.72
8,8,9,8,8,12,12,10,5,0,13.63
8,8,10,10,9,12,12,10,5,0,3.71
8,8,11,11,11,12,12,10,5,0,6
8,8,12,13,12,12,12,10,5,0,-8.66
6,6,10,11,10,10,10,8,5,0,-0.28
6,13,11,11,12,11,11,8,8,8,-143.74
6,13,11,11,12,11,11,9,10,9,-125.3
6,13,11,11,12,11,12,12,10,9,-165.45
6,13,11,11,12,13,14,12,10,9,-218.92
8,11,9,9,10,11,12,10,8,0,-5.05
8,11,9,9,13,12,12,10,8,0,-18.55
8,11,11,11,13,12,12,10,8,0,-21.76
6,9,9,9,11,10,10,8,7,7,-26.88
6,9,9,9,11,10,10,9,9,8,-58.59
6,9,9,9,11,10,11,11,10,8,-80.8
6,9,11,11,11,10,11,11,10,8,-90.09
6,9,11,11,12,12,12,11,10,8,-102.34
6,7,8,10,11,9,9,8,8,8,-14.25
6,7,11,11,11,9,9,8,8,8,-13.99
6,7,11,11,11,12,10,8,8,8,-23.46
7,6,9,9,9,10,8,6,6,0,27.15
7,6,9,9,9,10,8,8,8,0,29.82
9,8,9,9,9,10,8,8,8,0,39.57
5,4,5,5,5,6,4,4,4,0,39.11
6,6,6,5,5,6,4,4,4,0,38.96
6,6,6,7,7,6,4,4,4,0,36.12
6,6,6,7,7,7,7,4,4,0,33.21
6,6,6,7,7,7,7,6,6,0,39.12
6,7,8,8,7,7,7,6,6,0,36.35
6,7,8,8,9,8,8,6,6,0,32.72
2,3,4,4,5,4,4,2,2,0,26
2,3,5,6,6,4,4,2,2,0,15.64
2,3,5,6,6,4,4,4,4,0,17.11
4,5,5,6,6,4,4,4,4,0,31.87
4,5,5,6,6,6,6,4,4,0,32.78
7,6,5,6,6,6,6,4,4,0,39.17
7,6,7,8,6,6,6,4,4,0,34.98
7,6,7,8,8,7,7,4,4,0,36.15
8,8,8,8,8,7,7,4,4,0,34.04
8,8,8,8,8,7,7,7,5,0,32.46
8,8,8,8,10,9,7,7,5,0,14.88
4,4,4,4,6,5,3,3,1,0,8.82
6,5,5,4,6,5,3,3,1,0,13.55
6,5,5,4,6,5,5,5,1,0,20.2
6,5,7,6,6,5,5,5,1,0,19.68
6,8,8,6,6,5,5,5,1,0,9.02
6,8,8,6,6,5,5,5,5,0,30.16
6,8,8,6,6,6,6,7,5,0,17.02
6,8,8,6,7,8,7,7,5,0,21.16
2,4,4,2,3,4,3,3,1,0,14.59
2,4,4,5,4,4,3,3,1,0,12.42
2,4,4,6,6,5,3,3,1,0,-7.89
2,4,4,6,6,5,3,4,4,0,8.67
2,6,6,6,6,5,3,4,4,0,-7.64
2,6,6,6,6,5,5,6,4,0,-12.23
2,6,7,8,7,5,5,6,4,0,-22.91
2,6,7,8,7,6,8,6,4,0,-29.56
2,6,7,8,7,6,8,6,6,6,-47.4
2,6,7,8,7,9,9,6,6,6,-56.06
2,6,7,9,10,9,9,6,6,6,-66.05
2,6,7,9,10,9,9,9,7,6,-79.29
4,4,5,7,8,7,7,7,5,0,21.35
4,4,5,7,8,8,9,8,5,0,12.79
6,6,5,7,8,8,9,8,5,0,20.67
9,7,5,7,8,8,9,8,5,0,15.05
5,3,1,3,4,4,5,4,1,0,6.71
5,3,4,4,4,4,5,4,1,0,17.48
5,3,4,4,5,6,6,4,1,0,10.44
5,6,5,4,5,6,6,4,1,0,7.06
4,5,4,3,4,5,5,3,3,0,27.86
4,5,4,3,4,5,5,5,5,0,28.07
4,5,4,3,4,5,6,6,7,0,15.14
4,5,4,3,4,5,7,9,7,0,2.6
4,5,5,5,5,5,7,9,7,0,17
4,5,5,5,7,7,7,9,7,0,16.08
6,6,6,5,7,7,7,9,7,0,23.96
2,2,2,1,3,3,3,5,3,0,18.57
2,2,3,4,3,3,3,5,3,0,23.7
2,4,5,4,3,3,3,5,3,0,16.16
2,4,5,4,4,4,5,5,3,0,17.2
2,4,5,4,6,6,5,5,3,0,8.29
2,4,7,6,6,6,5,5,3,0,6.4
2,4,7,6,6,7,7,6,3,0,-2.75
6,4,7,6,6,7,7,6,3,0,3.49
6,4,7,8,8,7,7,6,3,0,-1.97
6,4,7,8,10,9,7,6,3,0,-22.59
6,4,7,8,10,9,7,6,6,5,-3.2
6,4,7,8,10,9,9,8,6,5,-15.03
5,7,6,7,9,8,8,7,5,0,18.5
8,8,6,7,9,8,8,7,5,0,28.06
8,8,6,7,9,9,11,7,5,0,14.61
8,8,8,9,9,9,11,7,5,0,20.21
9,10,9,9,9,9,11,7,5,0,17.19
