col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,eval
5,6,7,8,7,9,9,9,9,6,-1.82
7,6,6,7,6,8,8,8,8,0,36.42
7,6,6,7,9,9,8,8,8,0,36.3
7,7,8,8,9,9,8,8,8,0,38.18
10,8,8,8,9,9,8,8,8,0,42.8
10,8,8,8,9,10,10,9,8,0,39.87
10,8,8,8,9,10,10,10,11,0,34.54
10,8,9,10,10,10,10,10,11,0,32.85
10,8,9,10,10,12,11,11,11,0,27.27
10,8,9,12,12,12,11,11,11,0,26
10,10,11,12,12,12,11,11,11,0,36.21
10,10,11,12,12,12,13,12,12,0,21.91
13,11,11,12,12,12,13,12,12,0,26.53
13,11,11,13,14,13,13,12,12,0,10.88
9,7,7,9,10,9,9,8,8,0,32.15
9,7,7,9,12,11,9,8,8,0,21.04
9,7,7,9,12,11,11,10,8,0,12.9
9,7,7,9,13,13,12,10,8,0,1.02
9,8,10,9,13,13,12,10,8,0,5.64
10,11,10,9,13,13,12,10,8,0,11.56
6,7,6,5,9,9,8,6,4,0,13.42
6,7,8,7,9,9,8,6,4,0,22.13
6,7,8,7,10,10,10,6,4,0,11.79
9,8,8,7,10,10,10,6,4,0,20.23
9,8,8,7,10,10,10,7,7,0,33.49
10,10,9,7,10,10,10,7,7,0,13.65
10,10,9,7,10,10,10,9,9,0,23.08
10,10,9,7,10,10,10,10,11,10,-4.89
9,9,9,9,9,9,9,9,10,0,37.44
11,12,12,9,9,9,9,9,10,0,38.68
13,13,13,9,9,9,9,9,10,0,38.42
13,13,13,9,9,9,9,11,12,0,17.92
13,13,13,9,10,11,10,11,12,0,14.96
13,13,13,11,12,11,10,11,12,0,20.05
0,0,0,0,0,0,0,0,0,0,19.2
4,4,1,2,2,2,1,0,0,0,30.15
4,4,1,2,2,2,1,2,2,0,29.77
4,4,3,4,2,2,1,2,2,0,29.61
4,4,3,4,6,2,1,2,2,0,28.88
4,4,3,4,6,2,3,3,3,0,28.18
4,4,3,4,6,6,3,3,3,0,28.04
4,6,5,4,6,6,3,3,3,0,15.88
8,6,5,4,6,6,3,3,3,0,22.23
8,6,5,4,6,6,5,5,3,0,19.3
8,6,5,4,6,6,5,6,6,0,35.22
4,2,1,0,2,2,1,2,2,0,27.43
4,3,4,0,2,2,1,2,2,0,18.51
4,3,4,4,2,2,1,2,2,0,31.39
4,3,4,4,4,4,1,2,2,0,28.17
4,3,4,4,4,4,5,2,2,0,31.53
4,3,4,4,4,4,5,5,3,0,28.52
5,5,5,4,4,4,5,5,3,0,28.45
7,7,5,4,4,4,5,5,3,0,26.07
7,7,6,6,5,4,5,5,3,0,26.87
7,7,6,6,5,4,5,5,7,0,38.2
7,7,6,6,6,7,5,5,7,0,35.84
7,7,6,6,6,7,7,7,7,0,40.36
7,7,7,8,7,7,7,7,7,0,38.29
3,3,3,4,3,3,3,3,3,0,31.47
4,5,4,4,3,3,3,3,3,0,29.37
4,5,4,4,3,3,4,4,5,0,30.95
4,5,4,5,5,4,4,4,5,0,33.83
0,1,0,1,1,0,0,0,1,0,27.78
0,1,2,2,2,0,0,0,1,0,29.18
0,1,2,2,2,0,2,2,1,0,24.71
0,1,2,2,3,3,2,2,1,0,26.36
2,3,2,2,3,3,2,2,1,0,28.66
2,3,5,3,3,3,2,2,1,0,25.98
5,4,5,3,3,3,2,2,1,0,28.22
5,4,5,3,3,3,3,3,3,0,30.11
6,7,5,3,3,3,3,3,3,0,20.34
8,9,11,11,7,4,4,3,3,0,15.18
8,9,11,11,11,4,4,3,3,0,15.04
8,9,11,11,11,4,4,5,5,0,24.3
4,5,7,7,7,0,0,1,1,0,17.17
4,5,7,7,7,3,1,1,1,0,13.55
4,5,7,7,7,5,4,2,3,0,15.85
4,5,9,8,8,5,4,2,3,0,3.91
4,5,9,8,8,9,4,2,3,0,1.99
4,5,9,9,10,10,4,2,3,0,-25.24
4,5,9,9,10,10,4,4,5,0,12.47
7,6,9,9,10,10,4,4,5,0,24.08
7,6,9,9,10,10,5,7,5,0,-11.04
3,2,5,5,6,6,1,3,1,0,-17.66
3,2,5,5,6,6,4,4,1,0,4.62
3,2,5,5,6,6,4,4,5,0,24.99
3,2,5,5,6,6,6,6,5,0,21.88
3,2,5,5,6,6,6,6,9,0,11.69
